version,width,frames,threads,time,avg,speedup,eficiencia
1,1024,32,2,14590199,14603376,"2,00251229578695","1,00125614789347"
1,1024,32,4,7304971,"7311897,8","3,99943226777595","0,999858066943988"
1,1024,32,8,4406847,"4413486,6","6,62592699386467","0,828240874233084"
1,1024,64,2,27961430,"27952955,6","1,9972471462016","0,998623573100799"
1,1024,64,4,13983320,"13976505,4","3,99448640430533","0,998621601076332"
1,1024,64,8,8430044,"8438786,8","6,61575675783159","0,826969594728948"
1,1024,128,2,61320897,"61419739,8","1,99663854974521","0,998319274872604"
1,1024,128,4,30661276,"30673155,4","3,9980568872285","0,999514221807125"
1,1024,128,8,18511583,18511323,"6,62475719320548","0,828094649150685"
2,1024,32,2,15069389,"15080611,4","1,9224979432863","0,961248971643152"
2,1024,32,4,7588728,"7597936,6","3,81583131399122","0,953957828497805"
2,1024,32,8,4655454,"4659413,2","6,22233812618293","0,777792265772866"
2,1024,64,2,28896847,28920799,"1,92241874783612","0,961209373918058"
2,1024,64,4,14622534,"14581775,8","3,8128337016401","0,953208425410024"
2,1024,64,8,8935972,8956367,"6,20763823099254","0,775954778874068"
2,1024,128,2,63088852,63229313,"1,92643201105158","0,963216005525791"
2,1024,128,4,31862394,"32086477,2","3,79620897117369","0,949052242793422"
2,1024,128,8,22792435,22936767,"5,31055543268151","0,663819429085189"
3,1024,32,2,14569038,"14567843,6","2,0025511531439","1,00127557657195"
3,1024,32,4,7289513,"7289402,6","4,00209092580509","1,00052273145127"
3,1024,32,8,4623835,4623925,"6,30911011748677","0,788638764685846"
3,1024,64,2,27892136,"27921710,6","1,99815471907369","0,999077359536847"
3,1024,64,4,13996933,"13979910,2","3,99086238765682","0,997715596914206"
3,1024,64,8,8847237,"8866272,8","6,29259882461546","0,786574853076932"
3,1024,128,2,61202884,"61235952,2","1,99953553102421","0,999767765512104"
3,1024,128,4,30683682,"30648145,2","3,99513449838394","0,998783624595984"
3,1024,128,8,19422525,19503789,"6,27793205720181","0,784741507150226"
