np,b_bcast,sr_bcast
2,37935861,36437102
6,31350808.1,36350991.3
10,39462362.7,40399787.8
14,35957887.7,40124588.8
18,37512096.7,37103001
22,40585390.1,39712914.5
26,35440155.8,33440350.5
30,40137718.5,35004086
34,37250929.1,31730787.6
38,33154387.5,35551585.6
42,33287510,36085779.9
46,36561779.1,33470711.3
50,38125605.6,34549269
54,38404045.2,31397234
58,37374978.9,40669769.3
62,44132420.6,34101779.1
66,35507715.6,37266044.2
70,37294148.3,35688353.8
74,30332099.1,35192140.5
78,35723903.1,37559381.4
82,36391653.3,30979776.4
86,33419612.5,38141425.8
90,35111741.9,31221834.4
94,34688718.3,36924856.5
98,31618854.4,36269203.6
102,32480050.9,36121972.8
106,36006268.1,38299943.4
110,40398186.6,35340237.1
114,31391149.3,32251361.6
118,37574333.8,33473064.4
122,32587498.6,33583585.7
126,33522345.6,34115118.8
